id,status,bikes,docks,month,day,hours,minutes
1,1,13,23,10,4,17,54
1,1,13,23,10,4,17,49
1,1,8,28,10,4,20,44
1,1,8,28,10,4,20,29
1,1,2,34,10,5,3,9
1,1,2,34,10,5,2,59
1,1,2,34,10,5,2,44
1,1,2,34,10,5,5,29
1,1,15,21,10,5,12,19
1,1,15,21,10,5,12,24
1,1,14,22,10,5,15,24
1,1,18,18,10,5,18,44
1,1,18,18,10,5,18,34
1,1,19,17,10,5,18,24
1,1,18,18,10,5,18,29
1,1,18,18,10,5,21,39
1,1,19,17,10,6,0,29
1,1,20,16,10,6,0,9
1,1,21,15,10,6,2,44
1,1,21,15,10,6,2,19
1,1,21,15,10,6,5,54
1,1,21,15,10,6,5,24
1,1,21,15,10,6,8,39
1,1,22,14,10,6,11,49
1,1,22,14,10,6,11,54
1,1,21,15,10,6,14,49
1,1,21,15,10,6,18,19
1,1,21,15,10,6,18,24
1,1,21,15,10,6,18,14
1,1,19,17,10,6,20,39
1,1,21,15,10,6,20,24
1,1,19,17,10,6,20,34
1,1,15,21,10,7,2,14
1,1,15,21,10,7,2,4
1,1,12,24,10,7,5,34
1,1,31,5,10,7,8,24
1,1,30,6,10,7,7,59
1,1,22,14,10,7,13,29
1,1,22,14,10,7,13,39
1,1,22,14,10,7,13,34
1,1,22,14,10,7,13,49
1,1,13,23,10,7,16,24
1,1,1,35,10,7,19,39
1,1,0,36,10,7,22,29
1,1,0,36,10,7,22,44
1,1,0,36,10,8,1,14
1,1,16,20,10,8,7,19
1,1,15,21,10,8,7,39
1,1,16,20,10,8,7,24
1,1,11,25,10,8,10,44
1,1,13,23,10,8,13,24
1,1,0,36,10,8,19,14
1,1,0,36,10,8,19,39
1,1,0,36,10,8,18,59
1,1,0,36,10,8,19,19
1,1,0,36,10,9,1,9
1,1,3,33,10,9,4,14
1,1,19,17,10,9,7,19
1,1,15,21,10,9,7,4
1,1,18,18,10,9,7,9
1,1,19,17,10,9,7,24
1,1,21,15,10,9,6,59
1,1,19,17,10,9,6,54
1,1,23,13,10,9,9,54
1,1,22,14,10,9,10,9
1,1,20,16,10,9,10,29
1,1,21,15,10,9,13,24
1,1,7,29,10,9,16,14
1,1,0,36,10,9,19,19
1,1,0,36,10,9,19,24
1,1,0,36,10,9,22,14
1,1,0,36,10,9,22,9
1,1,0,36,10,10,1,9
1,1,0,36,10,10,0,44
1,1,0,36,10,10,4,24
1,1,12,24,10,10,6,49
1,1,15,21,10,10,6,54
1,1,21,15,10,10,9,54
1,1,9,27,10,10,15,59
1,1,10,26,10,10,15,39
1,1,0,36,10,10,21,29
1,1,0,36,10,10,21,49
1,1,0,36,10,11,0,54
1,1,0,36,10,11,0,19
1,1,0,36,10,11,3,34
1,1,13,23,10,11,6,14
1,1,20,16,10,11,6,44
1,1,31,5,10,11,9,44
1,1,31,5,10,11,10,24
1,1,11,25,10,11,19,14
1,1,11,25,10,11,19,49
1,1,9,27,10,11,21,49
1,1,8,28,10,11,21,54
1,1,3,33,10,12,0,29
1,1,5,31,10,12,3,59
1,1,5,31,10,12,3,24
1,1,5,31,10,12,3,49
1,1,14,22,10,12,6,54
1,1,14,22,10,12,6,34
1,1,14,22,10,12,6,59
1,1,11,25,10,12,9,59
1,1,11,25,10,12,9,24
1,1,10,26,10,12,12,24
1,1,10,26,10,12,12,34
1,1,10,26,10,12,15,9
1,1,5,31,10,12,18,4
1,1,6,30,10,12,17,29
1,1,5,31,10,12,21,49
1,1,5,31,10,12,21,34
1,1,8,28,10,13,0,44
1,1,6,30,10,13,0,34
1,1,7,29,10,13,8,29
1,1,6,30,10,13,8,44
1,1,8,28,10,13,12,4
1,1,8,28,10,13,14,19
1,1,8,28,10,13,14,29
1,1,2,34,10,13,20,49
1,1,3,33,10,13,20,19
1,1,2,34,10,13,20,54
1,1,3,33,10,13,20,24
1,1,1,35,10,14,0,29
1,1,1,35,10,14,3,4
1,1,1,35,10,14,2,59
1,1,2,34,10,14,5,39
1,1,1,35,10,14,5,24
1,1,1,35,10,14,5,9
1,1,15,21,10,14,12,14
1,1,15,21,10,14,11,44
1,1,16,20,10,14,14,29
1,1,13,23,10,3,15,14
1,1,6,30,10,3,15,54
1,1,14,22,10,3,15,4
1,1,8,28,10,3,15,34
1,1,0,36,10,3,18,44
1,1,0,36,10,3,18,59
1,1,0,36,10,3,18,39
1,1,0,36,10,3,21,49
1,1,0,36,10,3,22,4
1,1,0,36,10,3,21,39
1,1,0,36,10,4,2,19
1,1,0,36,10,4,2,9
1,1,6,30,10,4,5,4
1,1,23,13,10,4,8,4
1,1,23,13,10,4,8,24
1,1,23,13,10,4,8,19
1,1,19,17,10,4,11,24
1,1,18,18,10,4,13,59
1,1,17,19,10,4,14,14
1,1,18,18,10,4,16,29
1,1,19,17,10,4,16,9
1,1,19,17,10,4,16,14
1,1,9,27,10,4,19,59
1,1,7,29,10,4,22,54
1,1,2,34,10,5,1,49
1,1,2,34,10,5,1,54
1,1,2,34,10,5,1,59
1,1,2,34,10,5,5,19
1,1,2,34,10,5,4,59
1,1,16,20,10,5,7,54
1,1,15,21,10,5,7,49
1,1,16,20,10,5,8,9
1,1,15,21,10,5,10,49
1,1,15,21,10,5,11,4
1,1,11,25,10,5,13,39
1,1,14,22,10,5,16,34
1,1,14,22,10,5,16,54
1,1,14,22,10,5,16,39
1,1,15,21,10,5,17,14
1,1,14,22,10,5,16,49
1,1,18,18,10,5,20,9
1,1,18,18,10,5,19,54
1,1,19,17,10,5,22,59
1,1,19,17,10,6,1,39
1,1,19,17,10,6,1,34
1,1,21,15,10,6,2,4
1,1,21,15,10,6,4,49
1,1,21,15,10,6,7,39
1,1,22,14,10,6,10,39
1,1,22,14,10,6,11,9
1,1,22,14,10,6,10,29
1,1,21,15,10,6,16,54
1,1,21,15,10,6,19,59
1,1,21,15,10,6,19,49
1,1,21,15,10,6,20,4
1,1,16,20,10,6,22,29
1,1,15,21,10,7,1,44
1,1,15,21,10,7,1,24
1,1,15,21,10,7,1,29
1,1,11,25,10,7,4,44
1,1,11,25,10,7,4,54
1,1,11,25,10,7,4,29
1,1,30,6,10,7,7,44
1,1,30,6,10,7,7,49
1,1,27,9,10,7,10,19
1,1,26,10,10,7,10,29
1,1,30,6,10,7,10,14
1,1,26,10,10,7,10,39
1,1,17,19,10,7,14,19
1,1,3,33,10,7,17,34
1,1,5,31,10,7,17,24
1,1,0,36,10,7,20,49
1,1,0,36,10,7,21,14
1,1,0,36,10,8,0,9
1,1,0,36,10,7,23,44
1,1,0,36,10,8,0,4
1,1,0,36,10,8,1,54
1,1,0,36,10,8,1,49
1,1,0,36,10,8,2,19
1,1,0,36,10,8,5,9
1,1,0,36,10,8,5,29
1,1,0,36,10,8,5,24
1,1,17,19,10,8,8,9
1,1,17,19,10,8,8,14
1,1,17,19,10,8,7,54
1,1,15,21,10,8,15,9
1,1,14,22,10,8,14,44
1,1,4,32,10,8,17,14
1,1,3,33,10,8,17,19
1,1,0,36,10,8,20,49
1,1,0,36,10,8,23,49
1,1,0,36,10,8,23,59
1,1,0,36,10,8,23,44
1,1,0,36,10,9,2,44
1,1,0,36,10,9,2,29
1,1,10,26,10,9,5,59
1,1,7,29,10,9,5,39
1,1,10,26,10,9,6,4
1,1,22,14,10,9,8,49
1,1,19,17,10,9,11,39
1,1,0,36,10,9,17,39
1,1,0,36,10,9,20,24
1,1,0,36,10,9,23,14
1,1,0,36,10,9,23,54
1,1,0,36,10,10,2,49
1,1,0,36,10,10,2,24
1,1,1,35,10,10,5,44
1,1,19,17,10,10,8,9
1,1,19,17,10,10,8,14
1,1,19,17,10,10,10,24
1,1,4,32,10,10,16,19
1,1,0,36,10,10,16,34
1,1,0,36,10,10,19,14
1,1,0,36,10,10,19,9
1,1,0,36,10,10,19,4
1,1,0,36,10,10,23,9
1,1,0,36,10,10,22,49
1,1,7,29,10,11,4,59
1,1,32,4,10,11,9,4
1,1,21,15,10,11,12,9
1,1,21,15,10,11,11,59
1,1,21,15,10,11,12,14
1,1,21,15,10,11,14,59
1,1,20,16,10,11,15,19
1,1,13,23,10,11,18,9
1,1,13,23,10,11,18,24
1,1,13,23,10,11,17,44
1,1,13,23,10,11,18,4
1,1,13,23,10,11,17,59
1,1,4,32,10,11,23,54
1,1,4,32,10,12,0,9
1,1,4,32,10,11,23,44
1,1,4,32,10,12,0,4
1,1,5,31,10,12,2,59
1,1,5,31,10,12,2,54
1,1,5,31,10,12,3,14
1,1,5,31,10,12,6,9
1,1,5,31,10,12,6,14
1,1,5,31,10,12,5,44
1,1,10,26,10,12,9,9
1,1,10,26,10,12,11,34
1,1,9,27,10,12,16,9
1,1,6,30,10,12,16,19
1,1,5,31,10,12,19,4
1,1,5,31,10,12,19,24
1,1,8,28,10,13,1,34
1,1,8,28,10,13,4,24
1,1,7,29,10,13,7,29
1,1,7,29,10,13,7,19
1,1,7,29,10,13,7,9
1,1,6,30,10,13,10,9
1,1,8,28,10,13,13,9
1,1,7,29,10,13,15,59
1,1,7,29,10,13,16,29
1,1,3,33,10,13,19,39
1,1,2,34,10,13,22,29
1,1,1,35,10,14,1,19
1,1,1,35,10,14,1,24
1,1,1,35,10,14,1,39
1,1,1,35,10,14,3,49
1,1,1,35,10,14,4,4
1,1,1,35,10,14,3,34
1,1,11,25,10,14,6,49
1,1,15,21,10,14,9,54
1,1,14,22,10,14,11,34
1,1,14,22,10,14,11,29
1,1,14,22,10,14,11,9
1,1,15,21,10,14,14,59
1,1,15,21,10,14,14,39
1,1,0,36,10,14,17,34
1,1,0,36,10,14,17,9
1,1,0,36,10,14,17,54
1,1,1,35,10,14,18,14
1,1,1,35,10,14,21,14
1,1,0,36,10,14,23,29
1,1,0,36,10,14,23,14
1,1,0,36,10,15,1,49
1,1,0,36,10,15,3,54
1,1,11,25,10,15,6,9
1,1,11,25,10,15,5,59
1,1,7,29,10,15,5,44
1,1,12,24,10,15,6,14
1,1,26,10,10,15,9,14
1,1,25,11,10,15,9,9
1,1,25,11,10,15,10,24
1,1,25,11,10,15,10,29
1,1,26,10,10,15,10,9
1,1,25,11,10,15,10,4
1,1,25,11,10,15,12,49
1,1,25,11,10,15,12,54
1,1,24,12,10,15,12,19
1,1,16,20,10,15,15,24
1,1,0,36,10,15,18,9
1,1,0,36,10,15,17,59
1,1,0,36,10,15,18,4
1,1,0,36,10,15,20,19
1,1,0,36,10,15,22,19
1,1,0,36,10,15,22,34
1,1,0,36,10,15,22,29
1,1,0,36,10,16,0,44
1,1,0,36,10,16,0,29
1,1,0,36,10,16,2,39
1,1,0,36,10,16,3,14
1,1,0,36,10,16,3,9
1,1,0,36,10,16,2,49
1,1,8,28,10,16,5,19
1,1,13,23,10,16,6,59
1,1,14,22,10,16,9,54
1,1,12,24,10,16,11,49
1,1,11,25,10,16,11,24
1,1,19,17,10,16,13,54
1,1,13,23,10,16,16,29
1,1,14,22,10,16,18,9
1,1,14,22,10,16,18,29
1,1,14,22,10,16,18,24
1,1,14,22,10,16,22,44
1,1,14,22,10,16,23,19
1,1,14,22,10,17,0,54
1,1,14,22,10,17,2,44
1,1,14,22,10,17,4,39
1,1,19,17,10,17,7,14
1,1,19,17,10,17,7,19
1,1,18,18,10,17,11,29
1,1,18,18,10,17,11,39
1,1,19,17,10,17,11,44
1,1,21,15,10,17,12,54
1,1,14,22,10,17,15,29
1,1,14,22,10,17,15,19
1,1,15,21,10,17,17,24
1,1,15,21,10,17,17,49
1,1,10,26,10,17,19,59
1,1,10,26,10,17,19,44
1,1,10,26,10,17,19,39
1,1,10,26,10,17,19,34
